class,species
271,Euphyes bimacula
272,Euphyes conspicua
273,Euphyes dion
274,Euphyes dukesi
275,Euphyes pilatka
276,Euphyes vestris
277,Euptoieta claudia
278,Euptoieta hegesia
279,Eurema boisduvaliana
280,Eurema daira
281,Eurema mexicana
282,Eurytides marcellus
283,Feniseca tarquinius
284,Ganyra josephina
285,Glaucopsyche lygdamus
286,Glaucopsyche piasus
287,Glutophrissa drusilla
288,Grais stigmaticus
289,Gyrocheilus patrobas
290,Habrodais grunus
291,Hamadryas februa
292,Hamadryas guatemalena
293,Heliconius charithonia
294,Heliconius erato
295,Heliopetes ericetorum
296,Heliopetes laviana
297,Heliopetes macaira
298,Heliopyrgus domicella
299,Heliopyrgus sublinea
300,Hemiargus ceraunus
301,Hermeuptychia hermes
302,Hermeuptychia hermybius
303,Hermeuptychia intricata
304,Hermeuptychia sosybius
305,Hesperia assiniboia
306,Hesperia colorado
307,Hesperia comma
308,Hesperia dacotae
309,Hesperia juba
310,Hesperia leonardus
311,Hesperia manitoba
312,Hesperia meskei
313,Hesperia metea
314,Hesperia miriamae
315,Hesperia nevada
316,Hesperia pahaska
317,Hesperia sassacus
318,Hesperia uncas
319,Hesperia viridis
320,Hesperia woodgatei
321,Hesperopsis alpheus
322,Historis acheronta
323,Hylephila phyleus
324,Hypaurotis crysalus
325,Junonia coenia
326,Junonia evarete
327,Junonia genoveva
328,Kricogonia lyside
329,Lampides boeticus
330,Lasaia sula
331,Leptotes cassius
332,Leptotes marina
333,Lerema accius
334,Lerodea arabus
335,Lerodea eufala
336,Lethe anthedon
337,Lethe appalachia
338,Lethe creola
339,Lethe eurydice
340,Lethe portlandia
341,Libytheana carinenta
342,Limenitis archippus
343,Limenitis arthemis
344,Limenitis lorquini
345,Limenitis weidemeyerii
346,Lycaena arota
347,Lycaena cupreus
348,Lycaena dione
349,Lycaena dorcas
350,Lycaena dospassosi
351,Lycaena editha
352,Lycaena epixanthe
353,Lycaena gorgon
354,Lycaena helloides
355,Lycaena heteronea
356,Lycaena hyllus
357,Lycaena mariposa
358,Lycaena nivalis
359,Lycaena phlaeas
360,Lycaena rubidus
361,Lycaena xanthoides
362,Lycorea halia
363,Marpesia eleuchea
364,Marpesia petreus
365,Megathymus yuccae
366,Megisto cymela
367,Megisto rubricata
368,Melanis pixe
369,Memphis glycerium
370,Memphis pithyusa
371,Mestra amymone
372,Michaelus ira
373,Microtia elva
374,Ministrymon azia
375,Ministrymon clytie
376,Ministrymon leda
377,Myscelia cyananthe
378,Myscelia ethusa
379,Nastra julia
380,Nastra lherminier
381,Nathalis iole
382,Neominois ridingsii
383,Neonympha areolatus
384,Neophasia menapia
385,Nyctelius nyctelius
386,Nymphalis antiopa
387,Nymphalis californica
388,Nymphalis j-album
389,Oarisma garita
390,Oarisma poweshiek
391,Ochlodes agricola
392,Ochlodes sylvanoides
393,Ochlodes yuma
394,Oeneis alberta
395,Oeneis balderi
396,Oeneis bore
397,Oeneis calais
398,Oeneis chryxus
399,Oeneis macounii
400,Oeneis melissa
401,Oeneis nevadensis
402,Oeneis polixenes
403,Oeneis uhleri
404,Oligoria maculata
405,Panoquina errans
406,Panoquina evansi
407,Panoquina hecebolus
408,Panoquina lucas
409,Panoquina ocola
